name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Facundo Pellistri,Right Winger,Uruguay,20/21,€1.80m,€8.50m,CA Peñarol,Manchester United,Primera Division Clausura,Premier League,First Tier,First Tier,18 years 09 months 15 days,02 Years 02 Months 26 Days
Alberto Grassi,Central Midfield,Italy,20/21,€5.50m,€8.45m,SSC Napoli,Parma Calcio 1913,Serie A,Serie A,First Tier,First Tier,25 years 05 months 25 days,01 Years 09 Months 29 Days
Matheus Pereira,Attacking Midfield,Brazil,20/21,€9.50m,€8.25m,Sporting CP,West Bromwich Albion,Liga NOS,Premier League,First Tier,First Tier,24 years 03 months 12 days,01 Years 10 Months 13 Days
Bouna Sarr,Right-Back,Senegal,20/21,€9.00m,€8.00m,Olympique Marseille,Bayern Munich,Ligue 1,Bundesliga,First Tier,First Tier,28 years 08 months 04 days,01 Years 08 Months 25 Days
Yann Karamoh,Left Winger,Cote d'Ivoire,20/21,€7.50m,€8.00m,Inter Milan,Parma Calcio 1913,Serie A,Serie A,First Tier,First Tier,22 years 01 month 24 days,09 Months 29 Days
Sam Lammers,Centre-Forward,Netherlands,20/21,€7.00m,€8.00m,PSV Eindhoven,Atalanta BC,Eredivisie,Serie A,First Tier,First Tier,23 years 04 months 23 days,09 Months 08 Days
Mohamed Fares,Left Midfield,Algeria,20/21,€7.00m,€8.00m,SPAL,SS Lazio,Serie B,Serie A,Second Tier,First Tier,24 years 07 months 16 days,01 Years 08 Months 30 Days
Luis Henrique,Left Winger,Brazil,20/21,€5.00m,€8.00m,Três Passos Atlético Clube,Olympique Marseille,-,Ligue 1,-,First Tier,18 years 09 months 11 days,
Abel Ruiz,Centre-Forward,Spain,20/21,€4.50m,€8.00m,FC Barcelona B,SC Braga,Segunda División B - Aufstiegsphase,Liga NOS,Play-Offs,First Tier,20 years 05 months 03 days,11 Months 30 Days
Terem Moffi,Centre-Forward,Nigeria,20/21,€3.00m,€8.00m,KV Kortrijk,FC Lorient,Jupiler Pro League,Ligue 1,First Tier,First Tier,21 years 04 months 06 days,02 Years 08 Months 30 Days
Marley Aké,Left Winger,France,20/21,€2.50m,€8.00m,Olympique Marseille,Juventus U23,Ligue 1,Serie C - Girone A,First Tier,Third Tier,20 years 23 days,03 Years 05 Months 02 Days
Bruno Fuchs,Centre-Back,Brazil,20/21,€1.80m,€8.00m,Sport Club Internacional,CSKA Moscow,Campeonato Brasileiro Série A,Premier Liga,First Tier,First Tier,21 years 04 months 23 days,03 Years 04 Months 07 Days
Sven Botman,Centre-Back,Netherlands,20/21,€1.30m,€8.00m,Ajax Amsterdam U21,LOSC Lille,Keuken Kampioen Divisie,Ligue 1,Second Tier,First Tier,20 years 06 months 19 days,02 Years 10 Months 30 Days
Caio Henrique,Left-Back,Brazil,20/21,€1.20m,€8.00m,Atlético de Madrid,AS Monaco,LaLiga,Ligue 1,First Tier,First Tier,23 years 27 days,02 Years 10 Months 03 Days
Robson Bambu,Centre-Back,Brazil,20/21,€800k,€8.00m,Club Athletico Paranaense,OGC Nice,Campeonato Brasileiro Série A,Ligue 1,First Tier,First Tier,22 years 07 months 19 days,02 Years 04 Months 20 Days
Elia Petrelli,Centre-Forward,Italy,20/21,€250k,€8.00m,Juventus U23,Genoa CFC,Serie C - Girone A,Serie A,Third Tier,First Tier,19 years 05 months 13 days,02 Years 05 Months 02 Days
Franco Tongya,Right Winger,Italy,20/21,-,€8.00m,Juventus U23,Olympique de Marseille B,Serie C - Girone A,Championnat National 2 - Groupe C,Third Tier,Fourth Tier,18 years 10 months 15 days,05 Months 02 Days
Philipp Max,Left-Back,Germany,20/21,€15.00m,€7.70m,FC Augsburg,PSV Eindhoven,Bundesliga,Eredivisie,First Tier,First Tier,26 years 11 months 03 days,01 Years 09 Months 28 Days
Alexis Saelemaekers,Right Winger,Belgium,20/21,€8.00m,€7.65m,RSC Anderlecht,AC Milan,Jupiler Pro League,Serie A,First Tier,First Tier,21 years 02 months 05 days,01 Years 09 Months 29 Days
Matheus Pereira,Central Midfield,Brazil,20/21,€1.30m,€7.60m,Juventus U23,FC Barcelona B,Serie C - Girone A,Segunda División B - Aufstiegsphase,Third Tier,Play-Offs,22 years 05 months 10 days,01 Years 10 Months 26 Days
Karol Linetty,Central Midfield,Poland,20/21,€10.00m,€7.50m,UC Sampdoria,Torino FC,Serie A,Serie A,First Tier,First Tier,25 years 06 months 30 days,09 Months 29 Days
Paul Bernardoni,Goalkeeper,France,20/21,€5.50m,€7.50m,FC Girondins Bordeaux,Angers SCO,Ligue 1,Ligue 1,First Tier,First Tier,23 years 02 months 13 days,02 Years 11 Months 30 Days
Talles Magno,Left Winger,Brazil,20/21,€8.00m,€7.27m,Clube de Regatas Vasco da Gama,New York City FC,Campeonato Brasileiro Série B,Major League Soccer,Second Tier,First Tier,18 years 10 months 22 days,01 Years 07 Months 13 Days
Gregor Kobel,Goalkeeper,Switzerland,20/21,€4.00m,€7.20m,TSG 1899 Hoffenheim,VfB Stuttgart,Bundesliga,Bundesliga,First Tier,First Tier,22 years 07 months 22 days,11 Months 02 Days
Francis Coquelin,Defensive Midfield,France,20/21,€14.00m,€7.10m,Valencia CF,Villarreal CF,LaLiga,LaLiga,First Tier,First Tier,29 years 02 months 30 days,01 Years 10 Months 18 Days
Dudu,Left Winger,Brazil,20/21,€12.00m,Loan fee:€7.00m,Sociedade Esportiva Palmeiras,Al-Duhail SC,Campeonato Brasileiro Série A,Qatar Stars League,First Tier,First Tier,28 years 06 months 27 days,03 Years 04 Months 28 Days
Irfan Can Kahveci,Right Winger,Turkey,20/21,€10.00m,€7.00m,Basaksehir FK,Fenerbahce,Süper Lig,Süper Lig,First Tier,First Tier,25 years 06 months 16 days,03 Years 04 Months 30 Days
Ibrahim Sangaré,Defensive Midfield,Cote d'Ivoire,20/21,€9.50m,€7.00m,FC Toulouse,PSV Eindhoven,Ligue 2,Eredivisie,Second Tier,First Tier,22 years 09 months 26 days,09 Months 02 Days
Luis Suárez,Centre-Forward,Colombia,20/21,€7.50m,€7.00m,Watford FC,Granada CF,Championship,LaLiga,Second Tier,First Tier,22 years 10 months 00 days,
Alexander Schwolow,Goalkeeper,Germany,20/21,€7.00m,€7.00m,SC Freiburg,Hertha BSC,Bundesliga,Bundesliga,First Tier,First Tier,28 years 02 months 02 days,01 Years 10 Months 26 Days
Ondrej Duda,Attacking Midfield,Slovakia,20/21,€7.00m,€7.00m,Hertha BSC,1.FC Köln,Bundesliga,Bundesliga,First Tier,First Tier,25 years 09 months 11 days,02 Years 09 Months 14 Days
Felix Uduokhai,Centre-Back,Germany,20/21,€6.80m,€7.00m,VfL Wolfsburg,FC Augsburg,Bundesliga,Bundesliga,First Tier,First Tier,22 years 09 months 22 days,01 Years 11 Months 30 Days
Leonardo Bittencourt,Attacking Midfield,Germany,20/21,€4.80m,€7.00m,TSG 1899 Hoffenheim,SV Werder Bremen,Bundesliga,Bundesliga,First Tier,First Tier,26 years 06 months 26 days,02 Years 11 Months 15 Days
Mirko Maric,Centre-Forward,Croatia,20/21,€4.50m,€7.00m,NK Osijek,AC Monza,1.HNL,Serie B,First Tier,Second Tier,25 years 03 months 16 days,02 Years 09 Months 29 Days
Jordan Lotomba,Right-Back,Switzerland,20/21,€4.00m,€7.00m,BSC Young Boys,OGC Nice,Super League,Ligue 1,First Tier,First Tier,21 years 10 months 05 days,10 Months 27 Days
Amine Gouiri,Centre-Forward,France,20/21,€4.00m,€7.00m,Olympique Lyon,OGC Nice,Ligue 1,Ligue 1,First Tier,First Tier,20 years 04 months 15 days,01 Years 11 Months 30 Days
Francesco Cassata,Central Midfield,Italy,20/21,€2.50m,€7.00m,US Sassuolo,Genoa CFC,Serie A,Serie A,First Tier,First Tier,23 years 01 month 16 days,01 Years 09 Months 29 Days
Simone Muratore,Central Midfield,Italy,20/21,€500k,€7.00m,Juventus FC,Atalanta BC,Serie A,Serie A,First Tier,First Tier,22 years 03 months 02 days,01 Years 09 Months 29 Days
Ciro Palmieri,Second Striker,Italy,20/21,€75k,€7.00m,Napoli Primavera,LOSC Lille B,Primavera 2b,Championnat National 3 - Hauts-de-France,Youth league,Fifth Tier,20 years 07 months 00 days,09 Months 29 Days
Maxime Busi,Right-Back,Belgium,20/21,€2.50m,€6.90m,RSC Charleroi,Parma Calcio 1913,Jupiler Pro League,Serie A,First Tier,First Tier,20 years 11 months 21 days,04 Years 08 Months 25 Days
Mikkel Damsgaard,Left Winger,Denmark,20/21,€6.50m,€6.75m,FC Nordsjaelland,UC Sampdoria,Superligaen,Serie A,First Tier,First Tier,20 years 01 month 29 days,01 Years 09 Months 29 Days
Ante Rebic,Left Winger,Croatia,20/21,€32.00m,€6.70m,Eintracht Frankfurt,AC Milan,Bundesliga,Serie A,First Tier,First Tier,26 years 11 months 22 days,01 Years 09 Months 18 Days
Sebastian Andersson,Centre-Forward,Sweden,20/21,€7.00m,€6.50m,1.FC Union Berlin,1.FC Köln,Bundesliga,Bundesliga,First Tier,First Tier,29 years 02 months 00 days,01 Years 09 Months 15 Days
Pedro Gonçalves,Left Winger,Portugal,20/21,€7.00m,€6.50m,FC Famalicão,Sporting CP,Liga NOS,Liga NOS,First Tier,First Tier,22 years 01 month 21 days,03 Years 10 Months 12 Days
Nahuel Bustos,Centre-Forward,Argentina,20/21,€6.70m,€6.50m,Club Atlético Talleres,Manchester City,Copa de la Liga Profesional de Fútbol,Premier League,League Cup,First Tier,22 years 03 months 00 days,08 Months 26 Days
Antonio Sanabria,Centre-Forward,Paraguay,20/21,€6.50m,€6.50m,Real Betis Balompié,Torino FC,LaLiga,Serie A,First Tier,First Tier,24 years 10 months 27 days,01 Years 04 Months 30 Days
Oliver Burke,Centre-Forward,Scotland,20/21,€4.80m,€6.50m,West Bromwich Albion,Sheffield United,Premier League,Premier League,First Tier,First Tier,23 years 05 months 02 days,01 Years 09 Months 21 Days
Illan Meslier,Goalkeeper,France,20/21,€4.50m,€6.50m,FC Lorient,Leeds United,Ligue 1,Premier League,First Tier,First Tier,20 years 04 months 25 days,01 Years 11 Months 03 Days
Lucas Veríssimo,Centre-Back,Brazil,20/21,€4.00m,€6.50m,Santos FC,SL Benfica,Campeonato Brasileiro Série A,Liga NOS,First Tier,First Tier,25 years 06 months 29 days,04 Years 04 Months 08 Days
Harrison Reed,Central Midfield,England,20/21,€2.40m,€6.50m,Southampton FC,Fulham FC,Premier League,Premier League,First Tier,First Tier,25 years 07 months 03 days,10 Months 00 Days
Hernani,Central Midfield,Brazil,20/21,€5.50m,€6.47m,Zenit St. Petersburg,Parma Calcio 1913,Premier Liga,Serie A,First Tier,First Tier,26 years 05 months 05 days,09 Months 29 Days
Papu Gómez,Left Winger,Argentina,20/21,€15.00m,€6.40m,Atalanta BC,Sevilla FC,Serie A,LaLiga,First Tier,First Tier,32 years 11 months 11 days,01 Years 05 Months 04 Days
Lucas Robertone,Central Midfield,Argentina,20/21,€6.50m,€6.40m,CA Vélez Sarsfield,UD Almería,Copa de la Liga Profesional de Fútbol,LaLiga2,League Cup,Second Tier,23 years 06 months 13 days,08 Months 30 Days
Simon Sohm,Defensive Midfield,Switzerland,20/21,€1.10m,€6.40m,FC Zürich,Parma Calcio 1913,Super League,Serie A,First Tier,First Tier,19 years 05 months 23 days,02 Years 08 Months 26 Days
Marcelino Moreno,Attacking Midfield,Argentina,20/21,€4.00m,€6.36m,Club Atlético Lanús,Atlanta United FC,Copa de la Liga Profesional de Fútbol,Major League Soccer,League Cup,First Tier,25 years 02 months 28 days,09 Months 08 Days
Stephy Mavididi,Left Winger,England,20/21,€3.60m,€6.30m,Juventus U23,Montpellier HSC,Serie C - Girone A,Ligue 1,Third Tier,First Tier,22 years 01 month 00 days,01 Years 11 Months 30 Days
Sergio Rico,Goalkeeper,Spain,20/21,€8.00m,€6.00m,Sevilla FC,Paris Saint-Germain,LaLiga,Ligue 1,First Tier,First Tier,27 years 04 days,09 Months 25 Days
Praxedes,Central Midfield,Brazil,20/21,€5.00m,€6.00m,Sport Club Internacional,Red Bull Bragantino,Campeonato Brasileiro Série A,Campeonato Brasileiro Série A,First Tier,First Tier,19 years 04 months 22 days,03 Years 10 Months 00 Days
Pablo Marí,Centre-Back,Spain,20/21,€4.80m,€6.00m,CR Flamengo,Arsenal FC,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,26 years 10 months 00 days,02 Years 06 Months 00 Days
Jonas Omlin,Goalkeeper,Switzerland,20/21,€4.80m,€6.00m,FC Basel 1893,Montpellier HSC,Super League,Ligue 1,First Tier,First Tier,26 years 07 months 05 days,01 Years 10 Months 15 Days
Guilherme,Defensive Midfield,Brazil,20/21,€4.50m,€6.00m,Olympiacos Piraeus,Al-Sadd SC,Super League 1,Qatar Stars League,First Tier,First Tier,29 years 04 months 26 days,09 Months 30 Days
Ignatius Ganago,Centre-Forward,Cameroon,20/21,€3.60m,€6.00m,OGC Nice,RC Lens,Ligue 1,Ligue 1,First Tier,First Tier,21 years 04 months 24 days,02 Years 11 Months 20 Days
Yan Couto,Right-Back,Brazil,20/21,€3.60m,€6.00m,Coritiba Foot Ball Club,Manchester City,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,18 years 28 days,
Arthur Cabral,Centre-Forward,Brazil,20/21,€2.70m,€6.00m,Sociedade Esportiva Palmeiras,FC Basel 1893,Campeonato Brasileiro Série A,Super League,First Tier,First Tier,22 years 02 months 06 days,03 Years 06 Months 00 Days
Núrio Fortuna,Left-Back,Angola,20/21,€2.00m,€6.00m,RSC Charleroi,KAA Gent,Jupiler Pro League,Jupiler Pro League,First Tier,First Tier,25 years 03 months 07 days,03 Years 11 Months 30 Days
Vladimir Coufal,Right-Back,Czech Republic,20/21,€2.00m,€6.00m,SK Slavia Prague,West Ham United,Fortuna Liga,Premier League,First Tier,First Tier,28 years 01 month 10 days,03 Years 08 Months 28 Days
Michael Olunga,Centre-Forward,Kenya,20/21,€950k,€6.00m,Kashiwa Reysol,Al-Duhail SC,J1 League,Qatar Stars League,First Tier,First Tier,26 years 09 months 17 days,02 Years 19 Days
Diego Rosa,Central Midfield,Brazil,20/21,-,€6.00m,Grêmio Foot-Ball Porto Alegrense,Manchester City,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,18 years 03 months 20 days,01 Years 04 Months 29 Days
Yeferson Soteldo,Left Winger,Venezuela,20/21,€8.00m,€5.91m,Santos FC,Toronto FC,Campeonato Brasileiro Série A,Major League Soccer,First Tier,First Tier,23 years 09 months 25 days,02 Years 08 Months 07 Days
Juan Fernando Quintero,Attacking Midfield,Colombia,20/21,€8.00m,€5.90m,CA River Plate,Shenzhen FC,Superliga,Chinese Super League,First Tier,First Tier,28 years 01 month 04 days,10 Months 09 Days
Giuseppe Pezzella,Left-Back,Italy,20/21,€3.50m,€5.75m,Udinese Calcio,Parma Calcio 1913,Serie A,Serie A,First Tier,First Tier,22 years 09 months 03 days,01 Years 09 Months 29 Days
Ivan Toney,Centre-Forward,England,20/21,€400k,€5.60m,Peterborough United,Brentford FC,League One,Championship,Third Tier,Second Tier,24 years 05 months 16 days,09 Months 29 Days
Zé Luís,Centre-Forward,Cape Verde,20/21,€8.00m,€5.50m,FC Porto,Lokomotiv Moscow,Liga NOS,Premier Liga,First Tier,First Tier,29 years 08 months 12 days,02 Years 08 Months 24 Days
François Kamano,Left Winger,Guinea,20/21,€8.00m,€5.50m,FC Girondins Bordeaux,Lokomotiv Moscow,Ligue 1,Premier Liga,First Tier,First Tier,24 years 03 months 15 days,10 Months 13 Days
Michal Karbownik,Left-Back,Poland,20/21,€6.00m,€5.50m,Legia Warszawa,Brighton & Hove Albion,PKO Ekstraklasa,Premier League,First Tier,First Tier,19 years 06 months 21 days,03 Years 08 Months 26 Days
Albian Ajeti,Centre-Forward,Switzerland,20/21,€4.80m,€5.50m,West Ham United,Celtic FC,Premier League,Scottish Premiership,First Tier,First Tier,23 years 05 months 18 days,02 Years 10 Months 17 Days
Harry Arter,Central Midfield,Ireland,20/21,€3.50m,€5.50m,AFC Bournemouth,Nottingham Forest,Championship,Championship,Second Tier,Second Tier,30 years 08 months 25 days,09 Months 08 Days
Mark McKenzie,Centre-Back,United States,20/21,€4.00m,€5.45m,Philadelphia Union,KRC Genk,Major League Soccer,Jupiler Pro League,First Tier,First Tier,21 years 10 months 13 days,01 Years 11 Months 24 Days
Tiquinho Soares,Centre-Forward,Brazil,20/21,€9.00m,€5.40m,FC Porto,Tianjin Jinmen Tiger,Liga NOS,Chinese Super League,First Tier,First Tier,29 years 08 months 11 days,09 Months 02 Days
Kévin Cabral,Left Winger,France,20/21,€1.80m,€5.40m,Valenciennes FC,Los Angeles Galaxy,Ligue 2,Major League Soccer,Second Tier,First Tier,21 years 08 months 29 days,03 Years 02 Months 22 Days
Matías Palacios,Attacking Midfield,Argentina,20/21,€8.00m,€5.23m,CA San Lorenzo de Almagro,FC Basel 1893,Superliga,Super League,First Tier,First Tier,18 years 09 months 05 days,02 Years 10 Months 16 Days
Mërgim Vojvoda,Right-Back,Kosovo,20/21,€4.00m,€5.20m,Standard Liège,Torino FC,Jupiler Pro League,Serie A,First Tier,First Tier,25 years 07 months 00 days,02 Years 09 Months 29 Days
Orestis Karnezis,Goalkeeper,Greece,20/21,€500k,€5.13m,SSC Napoli,LOSC Lille,Serie A,Ligue 1,First Tier,First Tier,35 years 01 month 24 days,09 Months 26 Days
Sandro Tonali,Defensive Midfield,Italy,20/21,€32.00m,Loan fee:€5.00m,Brescia Calcio,AC Milan,Serie B,Serie A,Second Tier,First Tier,20 years 04 months 01 day,09 Months 21 Days
Matías Zaracho,Attacking Midfield,Argentina,20/21,€15.50m,€5.00m,Racing Club,Clube Atlético Mineiro,Copa de la Liga Profesional de Fútbol,Campeonato Brasileiro Série A,League Cup,First Tier,22 years 07 months 11 days,01 Years 08 Months 09 Days
Gerónimo Rulli,Goalkeeper,Argentina,20/21,€8.00m,€5.00m,Real Sociedad,Villarreal CF,LaLiga,LaLiga,First Tier,First Tier,28 years 03 months 15 days,01 Years 09 Months 26 Days
Steve Mounié,Centre-Forward,Benin,20/21,€6.50m,€5.00m,Huddersfield Town,Stade Brestois 29,Championship,Ligue 1,Second Tier,First Tier,25 years 11 months 11 days,09 Months 21 Days
Moses Simon,Left Winger,Nigeria,20/21,€6.50m,€5.00m,Levante UD,FC Nantes,LaLiga,Ligue 1,First Tier,First Tier,24 years 11 months 19 days,02 Years 11 Months 30 Days
Moisés Caicedo,Defensive Midfield,Ecuador,20/21,€5.00m,€5.00m,Independiente del Valle,Brighton & Hove Albion,LigaPro Serie A Segunda Etapa,Premier League,First Tier,First Tier,19 years 02 months 30 days,03 Years 10 Months 29 Days
Loïc Mbe Soh,Centre-Back,France,20/21,€4.50m,€5.00m,Paris Saint-Germain B,Nottingham Forest,Championnat National 3 - Paris Île-de-France,Championship,Fifth Tier,Second Tier,19 years 02 months 29 days,
Kemar Roofe,Centre-Forward,Jamaica,20/21,€4.50m,€5.00m,RSC Anderlecht,Rangers FC,Jupiler Pro League,Scottish Premiership,First Tier,First Tier,27 years 06 months 29 days,01 Years 10 Months 26 Days
Bruno Tabata,Attacking Midfield,Brazil,20/21,€4.00m,€5.00m,Portimonense SC,Sporting CP,Liga NOS,Liga NOS,First Tier,First Tier,23 years 05 months 29 days,02 Years 09 Months 02 Days
